listing,price,brand,size
Louis Vuitton Gold Padlock with Key #319,59.0,Louis Vuitton,OS
LOUBOUTIN Panettone Silver Spike Stud Patent Zippy Long Wallet + Dust Bag & Box,350.0,Christian Louboutin,OS
Anthropologie Street Level Crossbody Bag,20.0,Street Level,OS
MIX IT The Perfect Beach Tote🏝NWOT,15.0,Mix It,OS
Woven Paper Tote,36.0,,OS
COACH,64.0,Coach,OS
"Ice cold black handmade tote bag
          
      Boutique",26.0,Handmade,OS
Calvin Klein reptile print evening purse,37.0,Calvin Klein,OS
"Balenciaga  RODEO HANDBAG MINI IN LATTE NWT
          
      NWT",2790.0,Balenciaga,OS
Prada Drawstring Silver PVC Dustbag‎,30.0,Prada,OS
Michael Kors Metallic Python Embossed Chain Tote Bag,45.0,Michael Kors,OS
Nautica Orange Blue Clutch Wallet A New Day Hot Pink Clutch Bundle NWT Casual,19.0,,OS
"Kate Spade NY Jeanne satchel new
          
      NWT",160.0,kate spade,OS
"NWT VIVAIA Gabriela Blue Woven Stylish Bag. Gorgeous and spacious Zipper closure
          
      NWT",106.0,Vivaia,OS
Tory Burch Black Leather Card Holder and Keychain,114.0,Tory Burch,4.5x3x1.25
NWT VICTORIAS SECRET ROSE GOLD TOTE SHOPPER BAG,27.0,Victoria's Secret,OS
"Zina Kao ""The Carter"" Clutch Pouch ""Letter K""",24.0,Zina Kao,OS
"Truly…Pink, Green & White Striped Towel Textured Skincare Zippered Pouch 6x12x4
          
      NWT",30.0,TRULY,OS
"NWT Authentic Matmazel Designed black leather hand bag .
          
      NWT",230.0,,OS
Monserat De Lucca Small Leather Bag,85.0,Monserat De Lucca,OS
"VERA BRADLEY - RFID Turnlock Wallet Navy Garden
          
      NWT",45.0,Vera Bradley,OS
Embroidered Suede Shoulder Bag,19.0,Handmade,OS
Burberry London England Accessories Dust Bag Small/Medium Green,15.0,Burberry,OS
Vintage HOBO Gray Leather Large Tote Bag Purse - Gorgeous Patina!,85.0,HOBO,OS
"Handmade Wool 19'' x 15'' Striped Wisdom, Serenity, And Courage Lined Tote Bag",48.0,Handmade,OS
Pixie Mood Moon Bag‎ Small – Velvet Black,31.0,Pixie Mood,OS
Dooney and Bourke Vintage Two Tone Brown Leather Shoulder Handbag,45.0,Dooney & Bourke,OS
👜 Coach Laura Signature Embossed Leather Tote Burgundy,55.0,Coach,OS
"Victoria’s Secret tote
          
      NWT",35.0,Victoria's Secret,OS
Gorgeous Chanel CC Quilted Patent Flap Clutch Chain Orange Silver Shoulder Bag,2115.0,CHANEL,OS
Herschel Black Zipper Backpack with Laptop Sleeve and Front Pocket,25.0,Herschel Supply Company,OS
Victoria Secret Luxurious Gold Metallic Kiss Lock Small Clutch Wallet 6” x 5.5”,18.0,Victoria's Secret,OS
"🖤🩶🖤 MADE IN INDIA BEAUTIFUL Black Beaded Shoulder Bag With Coin Purse🖤🩶🖤NWT
          
      NWT",138.0,Made In India,OS
Adrienne Vittadini NWT handbag. Crossbody strap included,107.0,Adrienne Vittadini,11 x 9
"4 IKEA Cream Tote Bags
          
      NWT",35.0,IKEA,OS
Vera Bradley Deco Daisy Red Black White Pushlock Hard-sided Wallet,20.0,Vera Bradley,OS
Crossbody Clutch,20.0,,OS
Tory Burch Miller Bucket Bag Malachite Green Leather NWT $448,250.0,Tory Burch,OS
MARC JACOBS Black Multi Small Logo strap Snapshot Camera Crossbody B…,380.0,Marc Jacobs,"Length: 7in Length, Height: 4in , Strap drop: 16.5"
Michael Kors Metallic Gold Leather Hobo Shoulder Bag for Women,45.0,Michael Kors,OS
Vera Bradley Wallet Bundle of 4,25.0,Vera Bradley,OS
MOSCHINO CHEAP AND CHIC Leather Bag  OS Brown Moschino,85.0,Moschino,OS
Jas M.B London‎ envelope clutch navy patent & black leather EC,102.0,jas m.b. London,OS
"Sundance Carousel Sling Bag Leather Saddle Color
          
      NWT",125.0,SUNDANCE LIVING,OS
COACH USA Vintage Black Leather Briefcase Shoulder Bag - Made in USA,220.0,Coach,"12.5 x 10 x 4"" strap drop 21"" approx"
"Pink Palm Leaf Backpack/Book-bag * NEW * , FabFitFun
          
      NWT",40.0,FabFitFun,OS
PRADA ❤️🌟WHITE DENIM CANAPA BAG WITH LONG STRAP⭐️,320.0,Prada,11 1/2” x 7” x 6”
Kate Spade New York Medium Bag,40.0,kate spade,OS
Michael Kors Light Mint Green Pebbles Leather Tote Bag,75.0,Michael Kors,OS
Studded Pink Shoulder Nightclub Hobo Handbag for Ladys,20.0,Source Unknown,OS
"BNWT BOXLUNCH WANDAVISION TOP HANDLE BAG
          
      NWT",65.0,Hot Topic,OS
Patricia Nash‎ Lari Leather Crossbody Handbag Floral Design,54.0,Patricia Nash,OS
Rare Limited Edition Pink Gucci Garden Card Holder Wallet,589.0,Gucci,OS
Coach Black Classic Minimalist Tote with Silver Accents,55.0,Coach,OS
"NEW Kate Spade Constance Grey Patent Large Shoulder Bag Embossed Leather Bag
          
      NWT",315.0,kate spade,OS
Dune London Leopard Print hand bag with Structured Design,90.0,Dune London,OS
Leopard Jessica Simpson Bag,15.0,Jessica Simpson,OS
New Evana Cheung mini Woven Net boho beach crochet tote Bag,45.0,Evana Cheung,OS
"Alo Yoga Explorer Fanny Pack - Adjustable 3L Waist Bag
          
      NWT",55.0,ALO Yoga,OS
CALPAK Kaya Faux Leather Round Backpack in Blue,55.0,Calpak,OS
✨💎 Authentic ✨Louis Vuitton Monogram Sac Souple Boston Bag,650.0,Louis Vuitton,OS
Dooney & Bourke Dillen Double Pocket Satchel,96.0,Dooney & Bourke,OS
Michael Kors Sutton medium satchel leather dark dune color. Good condition,145.0,Michael Kors,Medium
"NEW!‎ Elle Jae Gypset Prarie Vegan Suede Sage Shoulder Bag $118
          
      NWT",24.0,Elle Jae Gypset,OS
Salvatorre Ferragamo Brown Nylon Shoulder Bag with Leather Trim,140.0,Salvatore Ferragamo,OS
SKIMS Women's Bag,8.0,SKIMS,OS
"Gucci X Balenciaga Collab Bag
          
      NWT",1995.0,Gucci,OS
"Michael Kors Rhea Medium Pebbled Leather Backpack Peanut
          
      NWT",189.0,Michael Kors,OS
"Lululemon All Night Festival Bag 5L Black Gold
          
      NWT",56.0,lululemon athletica,OS
💋Lululemon All Night Festival Bag 5L - Black w/ Gold Hardware Crossbody Sling,57.0,lululemon athletica,OS
Handcrafted Daisy Floral Crochet Bag - Teal and‎ Yellow,35.0,Handmade,OS
"BCBG Max Azria Foldover Shoylder Bag. Black Faux Leather. NWT
          
      NWT",65.0,BCBGMaxAzria,"16""w  x 8""h"
JJ WINTERS Ivy Crossbody Mini Saddle Bag  Cognac Genuine Leather Gold Ring Women,50.0,JJ Winters,8.5” W x 6.5” H x 2.5” D
LUCKY BRAND Straw Woven Bag Shoulder Bag Straw Pom Accent Cinch Closure,41.0,Lucky Brand,OS
The Limited Gray Clutch,18.0,The Limited,OS
Cartier Brown Leather Crossbody Bag,350.0,Cartier,OS
"Michael Kors Charlotte Tote & Double Zip Wallet Black (NWT)
          
      NWT",269.0,Michael Kors,Large
Christian Dior Cannage embossed Blue Quilted Patent Leather Long Zippy Wallet,440.0,Dior,OS
"FAME Green Quilted Faux Leather Adjustable Crossbody Bag Travel Purse NEW
          
      NWT",29.0,Fame,OS
Furla Black and Tan banker bag,150.0,Furla,OS
"Calvin Klein Statement Series
Lock Flap Merlot Leather Bucket
Crossbody Bag/ new
          
      Boutique",89.0,Calvin Klein,8X9X4
Kipling Small Pink Crossbody Bag | Keefe Nylon Travel Purse w/ Zipper Pockets,30.0,Kipling,OS
Dagne Dover Inde Neoprene Backpack Diaper Bag Olive Green Large Size,75.0,Dagne Dover,OS
"NWT MICHAEL MICHAEL KORS Nola‎ Small Crystal Embellished Chain Crossbody Oxblood
          
      NWT",229.0,MICHAEL Michael Kors,OS
"Michael Kors Jet Set Medium Pebbled Leather Front-Flap Crossbody Bag - NWT
          
      NWT",107.0,Michael Kors,OS
Louis Vuitton Tressor Epi Wallet (PRICE FIRM),189.0,Louis Vuitton,OS
"Black Wallet with Gold Zipper by Black
          
      NWT",90.0,Black,OS
KISS /Lips beaded change purse/ key chain‎,14.0,None,"5×4"""
Italian Vintage Colorful Women's Tote Bag,20.0,,OS
Disneyland Paris Minnie Croisiere crossbody bag navy blue red nautical,60.0,Disney,OS
Kate Spade Mini Maise Light Blue Crossbody Bag with Gold Accents,69.0,kate spade,OS
❤️Auth💚VTG GUCCI Clutch monogram Sherryline  Ophidia Bag✨,599.0,Gucci,OS
Brown Shoulder Bag,12.0,,OS
Baggallini Womens Black Crossbody Wallet Multi Pocket‎,28.0,Baggallini,OS
Louis Vuitton Brown Wallet with Iconic Checkered Design,595.0,Louis Vuitton,OS
"NWT Brahmin Anita Toasted Almond wallet
          
      NWT",110.0,Brahmin,OS
COACH Faye Crossbody Purse Bag All Black Pebbled Leather Flap F1880-F22349,159.0,Coach,OS
"Michael Kors Sheila Large Signature Logo and Metallic Tote Bag
          
      NWT",118.0,Michael Kors,OS
"NEW HANDCRAFTED RATTAN CROSSBODY BAG PURSE
          
      NWT",55.0,,OS
Simply Vera Wang Black Snake Print Chain Strap Shoulder Bag Purse Tote,20.0,simply vera wang,OS
Cato Fold Over Crossbody Purse,20.0,Cato,OS
